Filename,WRPText,MonthText,EventText,LocationText,Prefix
i_91.png,SPB,June,,Summer Grounds,i
i_92.png,SPB,June,,Summer Grounds,i
i_93.png,SPB,July,,Summer Grounds,i
i_94.png,SPB,July,,Summer Grounds,i
i_95.png,SPB,July,,Summer Grounds,i
i_96.png,SPB,July,,Summer Grounds,i
i_97.png,SPB,July,,Summer Grounds,i
i_98.png,SPB,July,,Summer Grounds,i
i_99.png,SPB,July,,Summer Grounds,i
ib_100.png,SPB,July,,Summer Grounds,ib
ib_101.png,SPB,July,,Summer Grounds,ib
ib_102.png,SCB/DCB,July,,Summer Grounds,ib
ib_103.png,SCB/DCB,August,Migration (Bye!),,ib
ib_104.png,SCB/DCB,August,Migration (Bye!),,ib
ib_104_1.png,SCB/DCB,August,Migration (Bye!),,ib
ib_104_2.png,SCB/DCB,August,Migration (Bye!),,ib
ib_105.png,SCB/DCB,September,,Wintering Grounds,i
ib_106.png,SCB/DCB,September,,Wintering Grounds,i
ib_107.png,SCB/DCB,October,,Wintering Grounds,i
k_123.png,SCB/DCB,October,,Wintering Grounds,i
k_124.png,SCB/DCB,November,,Wintering Grounds,i
k_125.png,SCB/DCB,November,,Wintering Grounds,i
k_126.png,SCB/DCB,December,,Wintering Grounds,i
k_127.png,SCB/DCB,December,,Wintering Grounds,i
m_128.png,SCB/DCB,January,,Wintering Grounds,i
m_129.png,SCB/DCB,January,,Wintering Grounds,i
m_130.png,SCB/DCB,February,,Wintering Grounds,j
m_131.png,SCB/DCB,February,,Wintering Grounds,j
m_132.png,SCB/DCB,March,Migration (Hello!),,k
m_133.png,SCB/DCB,March,Migration (Hello!),,k
m_134.png,SCB/DCB,March,Migration (Hello!),,k
m_135.png,SCB/DCB,March,Migration (Hello!),,k
m_136.png,SCB/DCB,April,Breeding Season,Summer Grounds,
m_137.png,SCB/DCB,April,Breeding Season,Summer Grounds,
m_138.png,SCB/DCB,May,Breeding Season,Summer Grounds,
m_139.png,SCB/DCB,May,Breeding Season,Summer Grounds,
o_141.png,DPB,June,,Summer Grounds,o
o_142.png,DPB,June,,Summer Grounds,o
o_143.png,DPB,June,,Summer Grounds,o
o_144.png,DPB,June,,Summer Grounds,o
o_145.png,DPB,June,,Summer Grounds,o
o_146.png,DPB,June,,Summer Grounds,o
o_147.png,DPB,June,,Summer Grounds,o
o_148.png,DPB,June,,Summer Grounds,o
o_149.png,DPB,June,,Summer Grounds,o
o_150.png,DPB,June,,Summer Grounds,o
o_151.png,DPB,July,,Summer Grounds,o
o_152.png,DPB,July,,Summer Grounds,o
o_153.png,DPB,July,,Summer Grounds,o
o_154.png,DPB,July,,Summer Grounds,o
o_155.png,DPB,July,,Summer Grounds,o
o_156.png,DPB,July,,Summer Grounds,o
o_157.png,DPB,July,,Summer Grounds,o
o_158.png,DPB,July,,Summer Grounds,o
o_159.png,DPB,July,,Summer Grounds,o
o_160.png,DCB,August,,Summer Grounds,o
